Date,Price,Open,High,Low,Vol.,Change %,RSI
6/8/2024,69361,"69,403",69618,69257,1.23K,-0.06%,
6/7/2024,69403,"70,836",71912,68674,1.73K,-2.02%,
6/6/2024,70836,"71,101",71651,70156,0.67K,-0.37%,
6/5/2024,71101,"70,604",71717,70409,0.86K,0.70%,
6/4/2024,70604,"68,859",71071,68608,0.80K,2.53%,88.0715255
6/3/2024,68859,"67,816",70276,67636,1.20K,1.54%,83.02974789
6/2/2024,67816,"67,759",68444,67349,0.18K,0.08%,82.75094558
6/1/2024,67759,"67,582",67890,67463,0.24K,0.26%,81.83204371
5/31/2024,67582,"68,413",69028,66700,0.82K,-1.21%,82.79785276
5/30/2024,68413,"67,720",69523,67202,0.70K,1.02%,79.02502706
5/29/2024,67720,"68,434",68971,67225,0.63K,-1.04%,80.03446203
5/28/2024,68434,"69,492",69597,67400,0.90K,-1.52%,81.45841587
5/27/2024,69492,"68,585",70678,68313,1.11K,1.32%,76.42615433
5/26/2024,68585,"69,334",69556,68261,0.44K,-1.08%,77.65384583
5/25/2024,69334,"68,604",69635,68589,0.48K,1.06%,73.62913891
5/24/2024,68604,"68,058",69308,66733,0.64K,0.80%,70.67851946
5/23/2024,68058,"69,225",70095,66555,1.28K,-1.69%,73.15476437
5/22/2024,69225,"70,148",70647,69000,0.76K,-1.32%,74.95621822
5/21/2024,70148,"71,428",71921,69210,1.37K,-1.79%,77.23745177
5/20/2024,71428,"66,339",71479,66166,2.26K,7.67%,55.56606702
5/19/2024,66339,"66,995",67800,65989,0.28K,-0.98%,57.23191217
5/18/2024,66995,"67,182",67473,66677,0.19K,-0.28%,57.71853486
5/17/2024,67182,"65,314",67540,65220,0.92K,2.86%,51.42406868
5/16/2024,65314,"66,320",66780,64715,0.88K,-1.52%,54.31365588
5/15/2024,66320,"61,668",66500,61440,1.65K,7.54%,41.90098346
5/14/2024,61668,"62,986",63175,61239,0.86K,-2.09%,45.68812423
5/13/2024,62986,"61,612",63535,60866,0.66K,2.23%,42.57261528
5/12/2024,61612,"60,929",61962,60723,0.44K,1.12%,41.0732635
5/11/2024,60929,"60,807",61588,60576,0.66K,0.20%,40.7968725
5/10/2024,60807,"63,209",63606,60300,1.67K,-3.80%,48.18922436
5/9/2024,63209,"61,343",63509,60778,0.88K,3.04%,43.63137279
5/8/2024,61343,"62,432",63111,61020,0.76K,-1.74%,46.79416341
5/7/2024,62432,"63,280",64480,62378,0.44K,-1.34%,49.18514552
5/6/2024,63280,"64,173",65625,62812,0.86K,-1.39%,51.64925775
5/5/2024,64173,"63,983",64769,63034,0.71K,0.30%,51.08168461
5/4/2024,63983,"62,978",64644,62690,0.46K,1.60%,48.07248193
5/3/2024,62978,"59,247",63429,58914,2.89K,6.30%,38.90866458
5/2/2024,59247,"58,457",59732,57082,2.23K,1.35%,37.28784852
5/1/2024,58457,"60,836",60991,56756,3.90K,-3.91%,44.7516299
4/30/2024,60836,"63,960",64800,59372,1.96K,-4.88%,52.71084167
4/29/2024,63960,"63,226",64304,61949,1.01K,1.16%,50.85700657
4/28/2024,63226,"63,574",64470,62924,0.37K,-0.55%,51.72391075
4/27/2024,63574,"63,874",64028,62498,1.13K,-0.47%,52.5017922
4/26/2024,63874,"64,555",64838,63376,0.72K,-1.05%,54.3018661
4/25/2024,64555,"64,345",65348,62846,0.93K,0.33%,53.62694495
4/24/2024,64345,"66,458",67153,63667,0.91K,-3.18%,59.13116094
4/23/2024,66458,"66,894",67234,65904,0.51K,-0.65%,60.18139824
4/22/2024,66894,"64,992",67282,64581,1.08K,2.93%,53.69854268
4/21/2024,64992,"65,045",65744,64310,0.49K,-0.08%,53.84773523
4/20/2024,65045,"63,867",65465,63174,0.83K,1.84%,49.99200098
4/19/2024,63867,"63,529",65487,59698,2.28K,0.53%,48.90983971
4/18/2024,63529,"61,375",64159,60932,1.66K,3.51%,42.58357621
4/17/2024,61375,"63,874",64534,59840,2.28K,-3.91%,50.57149678
4/16/2024,63874,"63,488",64415,61765,1.80K,0.61%,49.427636
4/15/2024,63488,"65,793",66888,62386,2.49K,-3.50%,55.84963159
4/14/2024,65793,"64,039",65909,62190,2.53K,2.74%,50.58550658
4/13/2024,64039,"67,061",67878,61604,4.32K,-4.51%,57.94103701
4/12/2024,67061,"70,104",71291,65625,2.75K,-4.34%,63.78653952
4/11/2024,70104,"70,688",71352,69650,1.41K,-0.83%,64.79772223
4/10/2024,70688,"69,165",71241,67606,2.39K,2.20%,60.08288012
4/9/2024,69164,"71,675",71751,68253,2.83K,-3.50%,64.64721476
4/8/2024,71675,"69,343",72761,69040,3.09K,3.36%,58.01271768
4/7/2024,69343,"68,880",70222,68821,0.55K,0.67%,56.76707962
4/6/2024,68880,"67,819",69673,67491,0.52K,1.56%,53.91040779
4/5/2024,67819,"68,518",68718,65993,1.68K,-1.02%,55.49923883
4/4/2024,68518,"65,967",69320,65074,2.23K,3.87%,48.87710048
4/3/2024,65967,"65,495",66931,64603,1.43K,0.72%,47.74201597
4/2/2024,65495,"69,691",69691,64667,3.47K,-6.02%,57.24728886
4/1/2024,69691,"71,402",71402,68198,2.56K,-2.40%,60.40957601
3/31/2024,71402,"69,683",71444,69652,1.21K,2.47%,55.93328302
3/30/2024,69683,"69,862",70301,69632,0.31K,-0.26%,56.29643749
3/29/2024,69862,"70,776",70892,69015,1.47K,-1.29%,58.19108092
3/28/2024,70776,"69,467",71557,68932,1.57K,1.88%,54.54407583
3/27/2024,69467,"70,011",71610,68452,4.20K,-0.78%,55.78430055
3/26/2024,70011,"69,824",71402,69347,1.87K,0.27%,55.22649254
3/25/2024,69824,"67,283",70983,66397,4.66K,3.78%,48.17696619
3/24/2024,67283,"64,034",67655,63827,2.02K,5.02%,41.04095076
3/23/2024,64069,"63,828",65969,63059,1.31K,0.38%,40.55585691
3/22/2024,63828,"65,577",66712,62336,3.15K,-2.67%,45.58277911
3/21/2024,65577,"67,912",68229,64639,3.36K,-3.44%,51.48179513
3/20/2024,67912,"62,072",68155,60900,4.53K,9.41%,39.84719176
3/19/2024,62072,"67,606",68136,61689,6.98K,-8.19%,51.12016809
3/18/2024,67606,"68,456",68940,66648,2.32K,-1.24%,52.589834
3/17/2024,68456,"65,304",68922,64593,3.70K,4.83%,46.95220058
3/16/2024,65304,"69,514",70070,65000,3.39K,-5.98%,53.95592698
3/15/2024,69457,"71,364",72413,65705,5.08K,-2.67%,56.77782834
3/14/2024,71364,"72,985",73666,68602,3.48K,-2.21%,59.05914151
3/13/2024,72974,"71,237",73588,71172,3.07K,2.44%,55.64661747
3/12/2024,71237,"71,937",72760,68429,6.89K,-0.97%,56.73164773
3/11/2024,71937,"68,948",72606,67096,7.12K,4.34%,50.99503471
3/10/2024,68948,"68,205",69850,68048,2.93K,1.09%,49.65101429
3/9/2024,68205,"68,010",68458,67724,1.83K,0.27%,49.29884443
3/8/2024,68018,"66,744",69838,66100,4.67K,1.91%,46.8602415
3/7/2024,66744,"66,073",67953,65641,2.19K,1.02%,45.58136258
3/6/2024,66073,"63,818",67658,62805,4.51K,3.53%,41.48391546
3/5/2024,63818,"68,110",68874,59858,9.33K,-6.30%,50.58835501
3/4/2024,68110,"63,121",68161,62489,5.45K,7.90%,42.3415904
3/3/2024,63121,"61,962",63229,61402,1.72K,1.87%,40.68240735
3/2/2024,61962,"62,346",62406,61584,1.37K,-0.62%,41.50033146
3/1/2024,62346,"61,148",63000,60783,2.51K,1.96%,39.66284708
2/29/2024,61148,"62,380",63566,60385,4.10K,-1.97%,42.48321191
2/28/2024,62380,"56,998",63780,56668,6.63K,9.44%,34.82497266
2/27/2024,56998,"54,417",57487,54388,4.50K,4.74%,31.85896516
2/26/2024,54417,"51,716",54720,50903,4.39K,5.22%,29.06880049
2/25/2024,51716,"51,630",51956,51307,1.28K,0.17%,28.98176796
2/24/2024,51630,"50,734",51724,50590,0.98K,1.77%,28.03982622
2/23/2024,50734,"51,287",51537,50527,1.05K,-1.08%,29.56146404
2/22/2024,51287,"51,856",52042,50903,1.87K,-1.10%,31.17412347
2/21/2024,51856,"52,168",52279,50600,2.23K,-0.60%,32.09220027
2/20/2024,52168,"51,732",52872,50714,2.60K,0.84%,31.46064486
2/19/2024,51732,"52,061",52466,51650,1.19K,-0.63%,32.53948161
2/18/2024,52061,"51,631",52449,51165,0.91K,0.83%,31.8341931
2/17/2024,51631,"52,130",52153,50611,1.39K,-0.96%,33.6319542
2/16/2024,52130,"51,893",52579,51580,1.27K,0.46%,33.18431233
2/15/2024,51893,"51,778",52700,51280,2.44K,0.22%,32.95510134
2/14/2024,51778,"49,777",52005,49319,3.07K,4.02%,29.17851264
2/13/2024,49777,"49,947",50349,48388,2.43K,-0.34%,29.91336277
2/12/2024,49947,"48,321",50283,47699,4.36K,3.36%,27.02497596
2/11/2024,48321,"47,800",48500,47613,1.31K,1.09%,26.15356527
2/10/2024,47800,"47,150",48185,46900,0.73K,1.38%,25.06756477
2/9/2024,47150,"45,279",48182,45247,2.80K,4.13%,22.20885299
2/8/2024,45279,"44,328",45541,44328,1.67K,2.15%,20.90395065
2/7/2024,44328,"43,101",44351,42788,1.74K,2.85%,19.32617075
2/6/2024,43101,"42,707",43375,42574,0.71K,0.92%,18.83457268
2/5/2024,42707,"42,583",43540,42247,1.04K,0.29%,18.67358149
2/4/2024,42583,"43,004",43109,42332,0.63K,-0.98%,21.13824634
2/3/2024,43004,"43,201",43366,42892,0.29K,-0.46%,22.32450412
2/2/2024,43201,"43,088",43477,42560,0.78K,0.26%,22.11897445
2/1/2024,43088,"42,594",43272,41880,0.94K,1.16%,21.20008452
1/31/2024,42594,"42,956",43722,42304,1.29K,-0.84%,23.70147198
1/30/2024,42956,"43,309",43840,42700,1.11K,-0.80%,26.10884227
1/29/2024,43301,"42,047",43301,41833,1.16K,2.98%,23.2387102
1/28/2024,42047,"42,125",42808,41637,0.94K,-0.19%,23.79982533
1/27/2024,42125,"41,821",42204,41405,0.47K,0.73%,23.09135321
1/26/2024,41821,"40,001",42192,39877,2.73K,4.55%,19.37316001
1/25/2024,40001,"40,140",40333,39556,2.30K,-0.35%,20.42700412
1/24/2024,40140,"39,938",40590,39533,1.88K,0.51%,20.01752814
1/23/2024,39938,"39,599",40215,38572,2.78K,0.86%,19.31766768
1/22/2024,39599,"41,679",41775,39461,3.15K,-4.99%,34.45895198
1/21/2024,41679,"41,778",41945,41588,1.24K,-0.24%,35.0834004
1/20/2024,41778,"41,714",41942,41525,1.51K,0.14%,34.87017506
1/19/2024,41719,"41,337",42212,40364,1.55K,0.92%,33.45254679
1/18/2024,41337,"42,778",42932,40704,1.38K,-3.37%,42.88535528
1/17/2024,42778,"43,163",43215,42237,0.80K,-0.89%,45.12344677
1/16/2024,43163,"42,508",43588,42107,0.70K,1.54%,42.10080935
1/15/2024,42508,"41,737",43359,41705,0.93K,1.85%,38.80564936
1/14/2024,41737,"42,847",43075,41719,1.10K,-2.59%,45.42795979
1/13/2024,42847,"42,831",43250,42441,1.04K,0.04%,45.35177397
1/12/2024,42831,"46,377",46508,41574,3.78K,-7.65%,60.97311359
1/11/2024,46377,"46,636",48750,45650,5.42K,-0.56%,61.83132639
1/10/2024,46636,"46,113",47572,44352,5.05K,1.13%,59.0094421
1/9/2024,46113,"46,941",47845,45133,3.87K,-1.76%,61.9687147
1/8/2024,46941,"43,960",47205,43244,3.83K,6.78%,48.41648574
1/7/2024,43960,"44,005",44500,43638,0.57K,-0.10%,48.59922972
1/6/2024,44005,"44,189",44263,43461,0.74K,-0.42%,49.38876062
1/5/2024,44189,"44,221",44415,42746,1.89K,-0.07%,49.5339436
1/4/2024,44221,"42,869",44798,42673,1.85K,3.15%,43.81514984
1/3/2024,42869,"44,991",45559,40499,4.19K,-4.72%,52.98904856
1/2/2024,44991,"44,175",45892,44175,3.10K,1.85%,49.63295319
1/1/2024,44175,"42,323",44190,42232,1.16K,4.38%,42.97952743
12/31/2023,42323,"42,199",42938,42023,0.66K,0.29%,42.56807035
12/30/2023,42199,"42,139",42664,41585,0.67K,0.14%,42.3567701
12/29/2023,42139,"42,617",43168,41433,1.64K,-1.12%,44.71134957
12/28/2023,42617,"43,476",43793,42388,1.09K,-1.98%,48.76184786
12/27/2023,43476,"42,568",43666,42178,1.02K,2.13%,45.00829614
12/26/2023,42568,"43,641",43649,41772,1.99K,-2.46%,49.91478018
12/25/2023,43641,"43,026",43880,42784,0.84K,1.43%,47.30934526
12/24/2023,43026,"43,801",43975,42700,0.79K,-1.77%,50.79490411
12/23/2023,43801,"44,038",44068,43342,0.66K,-0.54%,51.8440127
12/22/2023,44038,"43,890",44444,43480,0.99K,0.34%,51.11114759
12/21/2023,43890,"43,662",44250,43363,1.17K,0.52%,49.93994688
12/20/2023,43662,"42,315",44336,42245,2.18K,3.18%,43.58553312
12/19/2023,42315,"42,672",43429,41850,0.96K,-0.84%,45.5625505
12/18/2023,42672,"41,406",42753,40556,1.46K,3.06%,40.18445779
12/17/2023,41406,"42,328",42442,41304,1.11K,-2.18%,45.25278011
12/16/2023,42328,"41,961",42746,41714,0.65K,0.87%,43.6667167
12/15/2023,41961,"43,064",43106,41742,1.01K,-2.56%,49.4061278
12/14/2023,43064,"42,924",43434,41601,1.67K,0.33%,48.7275278
12/13/2023,42924,"41,501",43424,40682,1.45K,3.43%,42.35898427
12/12/2023,41501,"41,287",42113,40733,0.90K,0.52%,41.48095688
12/11/2023,41287,"43,809",43840,40286,3.00K,-5.76%,53.66936024
12/10/2023,43809,"43,749",44065,43625,0.94K,0.14%,53.38448447
12/9/2023,43749,"44,173",44362,43629,1.28K,-0.96%,55.19440949
12/8/2023,44173,"43,290",44699,43101,1.96K,2.04%,50.7731713
12/7/2023,43290,"43,814",44091,42881,2.94K,-1.20%,53.17047912
12/6/2023,43814,"44,112",44285,43444,5.13K,-0.68%,
